"name","position","team","points","sdPts","value","averagePick","fteam","tsel","posOrd","year","expValue_m","expValue_v","expResid_m","expResid_v"
"A.Quarless","TE","GB",68.6315757575758,20.4638353031178,64.8,214.12,-1,TRUE,29,2014,59.7516863520332,62.4107333442479,-8.87988940554263,62.4107333442479
"A.Robinson","WR","JAC",61.7604545454545,29.179554096537,92.8,180.64,-1,TRUE,67,2014,62.1236938308037,35.2056755895599,0.363239285349227,35.2056755895599
"A.Rodgers","QB","GB",339.947882417582,18.1035209556371,345.1,16.79,-1,TRUE,2,2014,230.965863287511,781.496362705435,-108.982019130071,781.496362705435
"A.Smith","QB","KC",251.157651282051,17.8730474259978,219.8,154,-1,TRUE,19,2014,222.692227333423,183.549721830084,-28.465423948628,183.549721830084
"A.Williams","RB","NYG",109.716974358974,30.0446534244853,135,142.46,-1,TRUE,44,2014,113.01932708093,94.7040634648824,3.30235272195649,94.7040634648824
"B.Bortles","QB","JAC",71.7948641025641,49.766042324294,161.1,176.69,-1,TRUE,24,2014,95.012512003199,525.368402246231,23.2176479006349,525.368402246231
"B.Bostick","TE","GB",48.4035714285714,15.2762216185409,7.3,244.13,-1,TRUE,35,2014,45.4024346663388,55.3762723326745,-3.00113676223263,55.3762723326745
"B.Brown","RB","BUF",44.72,12.5103579085492,36.7,185.1,-1,TRUE,57,2014,51.4770090486171,29.4062713869393,6.75700904861709,29.4062713869393
"B.Celek","TE","PHI",78.1364615384615,16.7691530029366,54,205.1,-1,TRUE,28,2014,64.6980770237918,73.8966119445293,-13.4383845146697,73.8966119445293
"B.Cooks","WR","NO",139.10444017094,34.0433134148402,112.3,83.82,-1,TRUE,33,2014,111.615008530811,54.3526381856428,-27.4894316401287,54.3526381856428
"B.Cunningham","RB","STL",71.6550555555556,23.7584283815579,110.5,194.12,-1,TRUE,63,2014,76.6953941931637,42.723524642084,5.04033863760808,42.723524642084
"B.Hartline","WR","MIA",144.316179487179,11.390966501376,78.9,155.21,-1,TRUE,57,2014,115.122352607541,58.7824023106412,-29.1938268796385,58.7824023106412
"B.Hoyer","QB","CLE",95.4729166666667,62.6489757696997,153.6,222.96,-1,TRUE,34,2014,119.558668856217,684.589846435075,24.0857521895498,684.589846435075
"B.LaFell","WR","NE",65.9909658119658,27.3928308531812,173.6,196.91,-1,TRUE,74,2014,65.5936988100283,35.5099533489194,-0.39726700193748,35.5099533489195
"B.Marshall","WR","CHI",244.107076423576,10.8030489669212,148.6,16.09,-1,TRUE,6,2014,184.633305977115,298.237875222587,-59.4737704464612,298.237875222587
"B.Pierce","RB","BAL",126.322820512821,20.1803174453868,48.6,118.63,-1,TRUE,37,2014,121.039263176321,102.837455187139,-5.28355733650005,102.837455187139
"B.Quick","WR","STL",82.1401111111111,29.1635670124368,68,227.65,-1,TRUE,87,2014,79.9411739619957,36.8565386379551,-2.19893714911536,36.8565386379551
"B.Roethlisberger","QB","PIT",267.771679487179,14.5712414031857,299.7,126.35,-1,TRUE,16,2014,231.854573322764,226.853623162276,-35.917106164415,226.853623162276
"B.Sankey","RB","TEN",165.604166666667,25.5435336797245,89,63.97,-1,TRUE,21,2014,128.560852880726,96.2028347224358,-37.0433137859415,96.2028347224358
