playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2506122,B.Watson,NO,TE,35,11,11,35.5737602606246,91.2416344007535,21.0932512171603,3.42345297312885,12,55.6678741401289,195.5,30.2,5.5,7.2204811468382,4,16,77.4193183890169,-40.2440264760229,-67.1070290879251,-42.156993458628,161,29,4.83870739931355,-2.51525165475143,-4.19418931799532,-2.63481209116425,157.06,0.5,3.94,1,77.4193183890169
2552033,J.Winston,TB,QB,21,0,6,186.492267489651,252.694258380371,21.8457057625308,2.77703366712183,13,66.2019908907195,160,23.3,2.7,5.82159859167376,14,16,230.318482231962,-40.756514048314,-56.1755954208699,-33.0694391110918,162,24,14.3949051394976,-2.54728212801963,-3.51097471380437,-2.06683994444324,135.685,3.2,26.315,3,76.7728274106539
2543477,B.Bortles,JAC,QB,24,1,8,189.310655767341,252.255420955754,20.5395062257342,6.21452345309109,13,62.9447651884138,169.2,25.3,2.9,5.72082311612052,15,16,229.501458881469,-41.5735373988066,-53.3572071431805,-33.508276535708,163,25,14.3438411800918,-2.59834608742542,-3.33482544644878,-2.09426728348175,147.858,2,15.142,2,114.750729440735
2552468,M.Williams,BAL,TE,21,0,9,52.2202369117852,98.4922446547719,18.8278492680989,5.09917891928747,12,46.2720077429867,198.3,30.9,5.4,6.85401111573368,5,16,76.0022254433213,-41.6611194217184,-50.4605524367645,-34.9063832046096,164,30,4.75013909020758,-2.6038199638574,-3.15378452729778,-2.1816489502881,146.6367,1,17.3633,1,76.0022254433213
2550353,A.Hurns,JAC,WR,24,1,8,92.4277377006733,119.496265549022,12.8081233518386,0.614865504239617,18,27.0685278483487,152.6,63.6,12,5.26262919218719,31,16,108.695373146027,-42.1414904485538,-39.9551003236239,-46.2153504975751,165,63,6.79346082162669,-2.63384315303461,-2.49719377022649,-2.88845940609845,159.774,1,5.226,1,108.695373146027
2495341,C.Shorts,HOU,WR,28,4,9,80.4462757919309,145.895052042226,26.687842044772,1.44473227714789,18,65.4487762502955,176.5,71.2,10.1,7.0852800755344,41,16,108.511310434329,-42.3255531602515,-51.9365622323663,-19.8165640043707,166,64,6.78195690214558,-2.64534707251572,-3.2460351395229,-1.23853525027317,152.95,1,13.05,1,108.511310434329
2540178,K.Davis,KC,RB,24,2,9,76.5965254756301,105.128239079432,13.3306017218116,8.53901609126822,16,28.5317136038021,149.9,50.2,5.2,4.66996472705218,44,16,96.0448324940008,-42.69310240066,-24.4395904170219,-51.9094772056819,167,48,6.00280203087505,-2.66831890004125,-1.52747440106387,-3.24434232535512,129.094,1.6,37.906,2,48.0224162470004
2532884,M.Jones,CIN,WR,25,3,7,89.3005341651366,130.856278989881,17.1433760560589,2.22593401699466,18,41.5557448247442,139.2,56.7,6.2,5.91690372187583,70,16,107.649704849246,-43.1871587453352,-43.0823038591606,-34.8553370567163,168,65,6.72810655307785,-2.69919742158345,-2.69264399119754,-2.17845856604477,143.505,1.575,24.495,2,53.8248524246228
2508097,A.Hawkins,CLE,WR,29,4,11,72.4316452227908,144.245863561171,27.8429124495156,3.13159491255706,18,71.8142183383805,188.8,78.3,11.8,4.5556385224395,32,16,106.483451465117,-44.3534121294636,-59.9511928015064,-21.4657524854258,169,66,6.65521571656983,-2.77208825809148,-3.74694955009415,-1.34160953033911,161.945,0.75,7.05500000000001,1,106.483451465117
2495240,T.Taylor,BUF,QB,26,4,8,185.16,271.51517717595,35.9294179811218,5.63839606116761,14,86.3551771759496,186.3,27.4,3.6,6.14971333939755,8,16,225.581438248211,-45.493558032065,-57.5078629105211,-14.2485203155128,170,26,14.0988398905132,-2.84334737700406,-3.59424143190757,-0.890532519719553,152.374,1,17.626,1,225.581438248211
