name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
K.Britt,WR,CLE,9467,2131,136.13,42,317
J.Witten,TE,DAL,6997,2177,136.57,24,297
K.White,WR,CHI,12177,2022,136.65,36,307
M.Vikings,Def,MIN,0524,2259,136.82,2,264
J.Rodgers,RB,TBB,10300,2167,136.93,38,450
O.Vernon,DE,NYG,10815,142,137.57,44,244
T.Ginn Jr.,WR,NO,8673,2139,138.54,24,346
M.Bryant,PK,ATL,6789,2288,139.48,15,381
J.Collins,LB,CLE,11349,145,139.70,46,261
N.Bowman,LB,SF,9840,143,140.06,43,275
Z.Jones,WR,BUF,13176,1971,140.43,25,316
O.Howard,TE,TBB,13188,2019,141.75,40,300
C.Palmer,QB,ARI,6929,2253,141.89,11,340
D.Sproles,RB,PHI,7942,2047,143.29,20,397
J.Williams,RB,GB,13139,2038,143.44,46,375
C.Prosise,RB,SEA,12627,1955,143.86,49,388
J.Hill,RB,CIN,11654,2085,144.88,20,371
S.Shepard,WR,NYG,12658,1993,145.24,15,376
J.Charles,RB,DEN,9054,2112,145.62,20,380
H.Smith,S,MIN,10783,143,146.07,68,262
D.Bailey,PK,DAL,10506,2290,146.21,12,362
A.Hooper,TE,ATL,12677,2021,146.58,13,345
Z.Brown,LB,WAS,10770,131,147.60,44,317
L.David,LB,TBB,10768,138,150.33,47,311
C.Panthers,Def,CAR,0527,2211,150.78,50,247
C.Fleener,TE,NO,10743,1998,151.39,53,352
J.Cyprien,S,TEN,11347,138,151.96,67,297
R.Burkhead,RB,NE,11182,1667,152.50,36,323
V.Burfict,LB,CIN,10772,132,152.55,35,286
L.Murray,RB,MIN,11390,1956,152.93,16,342
C.Kupp,WR,LAR,13164,1656,153.25,22,360
A.Kamara,RB,NO,13132,1600,153.45,27,400
C.Beasley,WR,DAL,10973,1792,154.00,28,385
N.Giants,Def,NYG,0517,2098,154.90,30,272
M.Crosby,PK,GB,8742,2283,155.11,16,411
C.Dunlap,DE,CIN,9825,131,156.16,88,266
E.Engram,TE,NYG,13189,1694,156.40,41,323
T.Taylor,QB,BUF,10413,1822,156.67,21,344
D.Amendola,WR,NE,9308,1495,157.43,30,495
R.Anderson,WR,NYJ,12930,1604,157.50,57,369
J.Thomas,TE,MIA,10372,1846,157.56,57,429
P.Steelers,Def,PIT,0510,2056,158.94,60,266
C.Kirksey,LB,CLE,11772,126,159.40,52,329
J.Doctson,WR,WAS,12648,1478,160.30,34,369
J.Cutler,QB,MIA,8252,1619,161.32,22,391
G.Bernard,RB,CIN,11193,1516,161.57,21,326
M.Mack,RB,IND,13234,1458,161.77,73,384
M.Ingram,DE,LAC,10749,130,162.22,62,298
M.Burnett,S,GB,9864,132,162.58,58,299
H.Clinton-Dix,S,GB,11740,128,162.76,69,290
M.Sanu,WR,ATL,10723,1520,163.18,58,365
C.Brate,TE,TBB,12110,1579,163.20,33,346
T.Lockett,WR,SEA,12187,1431,163.81,31,332
A.Donald,DE,LAR,11757,133,163.84,32,276
K.Golladay,WR,DET,13277,1366,164.07,37,344
D.Foreman,RB,HOU,13134,1372,164.40,49,394
A.Smith,QB,KC,7813,987,164.62,34,420
D.Watson,QB,HOU,13113,1057,164.68,26,362
J.Flacco,QB,BAL,9064,1310,164.70,45,360
P.Eagles,Def,PHI,0518,1738,164.77,62,320
T.Gabriel,WR,ATL,11975,1275,164.97,28,405
A.Vinatieri,PK,IND,2842,2107,165.28,51,424
S.Bradford,QB,MIN,9817,1167,165.67,52,361
W.Smallwood,RB,PHI,12636,1194,166.55,36,477
J.Ross,WR,CIN,13155,1137,167.67,58,376
M.Williams,WR,LAC,13154,859,168.87,46,353
T.Mathieu,S,ARI,11313,129,168.93,62,279
J.Williams,RB,FA,12635,758,168.99,48,331
B.Ravens,Def,BAL,0531,1440,169.22,58,327
J.Conner,RB,PIT,13146,1268,169.24,41,319
M.Prater,PK,DET,8930,2123,169.41,32,427
C.Campbell,DE,JAC,9051,129,169.52,76,307
A.Falcons,Def,ATL,0526,1369,171.55,49,327
K.Wright,WR,CHI,10720,899,171.66,75,429
W.Lutz,PK,NO,12956,2140,171.69,25,402
S.Janikowski,PK,OAK,5666,1922,172.19,45,395
B.Church,S,JAC,10074,129,172.33,62,304
A.Gates,TE,LAC,7236,1088,172.59,22,375
J.Cook,TE,OAK,9474,1137,172.70,55,440
J.Jaguars,Def,JAC,0509,1230,173.59,44,286
D.Lewis,RB,NE,10389,984,174.01,50,362
C.Fiedorowicz,TE,HOU,11698,1037,174.72,49,353
D.Kizer,QB,CLE,13114,637,174.86,32,432
C.West,RB,KC,12098,966,175.18,68,384
D.Washington,RB,OAK,12857,960,175.24,66,457
C.Carson,RB,SEA,13364,816,175.29,36,416
O.Raiders,Def,OAK,0513,842,175.49,71,338
D.Njoku,TE,CLE,13192,745,175.92,65,346
G.Packers,Def,GB,0523,719,176.52,16,295
B.McManus,PK,DEN,11947,1679,176.61,15,447
L.Rams,Def,LAR,0528,1100,177.82,86,336
M.Lee,WR,JAC,11672,761,178.16,68,431
B.Bortles,QB,JAC,11642,601,178.33,52,363
C.Thompson,RB,WAS,11186,713,178.43,47,391
K.Stills,WR,MIA,11227,852,178.47,77,414
S.Vereen,RB,NYG,10303,795,178.56,60,345
C.Santos,PK,KC,11945,1679,178.91,13,466
B.Walsh,PK,SEA,10872,1373,179.45,76,479
C.Clay,TE,BUF,10409,801,180.21,72,442
J.Goff,QB,LAR,12611,387,180.28,39,348
C.Boswell,PK,PIT,11936,1317,180.96,55,428
T.Smith,WR,PHI,10289,756,181.46,63,417
T.Siemian,QB,DEN,12381,367,181.68,17,473
L.Chargers,Def,LAC,0514,791,181.91,87,320
M.Trubisky,QB,CHI,13115,366,181.98,59,371
C.Bengals,Def,CIN,0506,656,182.24,77,347
B.Hoyer,QB,SF,9714,427,182.73,68,414
T.Buccaneers,Def,TBB,0525,765,182.98,72,337
D.Hopkins,PK,WAS,11387,1277,183.78,48,437
D.Cowboys,Def,DAL,0516,453,184.27,17,319
P.Mahomes,QB,KC,13116,246,184.39,50,467
D.Funchess,WR,CAR,12205,698,184.46,57,424
B.Perriman,WR,BAL,12197,584,184.59,83,387
